"title","title_type","directors","imdb_rating","runtime","year","genres","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Apocalypto","Feature Film","Mel Gibson",7.8,139,"2006","action, adventure, drama, thriller",213103,"2006-12-08","http://www.imdb.com/title/tt0472043/","0472043","Apocalypto",2006,"Drama","R","138","Fresh",65,"Upright",79,"Rudy Youngblood","Dalia Hernandez","Jonathan Brewer","Raoul Trujillo","Gerardo Taracena","Mel Gibson","Buena Vista","http://www.rottentomatoes.com/m/apocalypto/"
"The Incredible Shrinking Woman","Feature Film","Joel Schumacher",5.3,88,"1981","sci_fi, comedy, fantasy",3252,"1981-01-30","http://www.imdb.com/title/tt0082558/","0082558","The Incredible Shrinking Woman",1981,"Science Fiction & Fantasy","PG","88","Rotten",0,"Spilled",53,"Lily Tomlin","Charles Grodin","Ned Beatty","Henry Gibson","Elizabeth Wilson","Joel Schumacher","MCA Universal Home Video","http://www.rottentomatoes.com/m/incredible_shrinking_woman/"
"Don't Tell Mom the Babysitter's Dead","Feature Film","Stephen Herek",6,102,"1991","comedy",19856,"1991-06-07","http://www.imdb.com/title/tt0101757/","0101757","Mother (Mom Never Dies)",2008,"Art House & International","Unrated","93",NA,-1,"Upright",67,"Han Hye-Suk","Ha Myeong-Jung","Ha Sang-Won",NA,NA,"Ha Myeong-Jung",NA,"http://www.rottentomatoes.com/m/mother-mom-never-dies/"
"Training Day","Feature Film","Antoine Fuqua",7.7,122,"2001","crime, drama, thriller",268613,"2001-09-02","http://www.imdb.com/title/tt0139654/","0139654","Training Day",2001,"Drama","R","122","Fresh",72,"Upright",89,"Denzel Washington","Ethan Hawke","Scott Glenn","Tom Berenger","Harris Yulin","Antoine Fuqua","Warner Bros. Pictures","http://www.rottentomatoes.com/m/training_day/"
"A Good Year","Feature Film","Ridley Scott",6.9,117,"2006","comedy, drama, romance",63025,"2006-09-09","http://www.imdb.com/title/tt0401445/","0401445","A Good Year",2006,"Drama","PG-13","118","Rotten",25,"Upright",65,"Russell Crowe","Albert Finney","Marion Cotillard","Abbie Cornish","Tom Hollander","Ridley Scott","20th Century Fox","http://www.rottentomatoes.com/m/good_year/"
"Child's Play 2","Feature Film","John Lafia",5.7,84,"1990","horror, mystery, thriller",27430,"1990-11-09","http://www.imdb.com/title/tt0099253/","0099253","Child's Play 2",1990,"Mystery & Suspense","R","84","Rotten",40,"Spilled",47,"Brad Dourif","Alex Vincent","Jenny Agutter","Gerrit Graham","Christine Elise","John Lafia","MCA Universal Home Video","http://www.rottentomatoes.com/m/childs_play_2/"
"All Quiet on the Western Front","TV Movie","Delbert Mann",7.1,150,"1979","war, drama",5181,"1979-11-14","http://www.imdb.com/title/tt0078753/","0078753","All Quiet on the Western Front",1979,"Drama","Unrated","150",NA,-1,"Upright",69,"Richard Thomas","Ernest Borgnine","Ian Holm","Donald Pleasence","Patricia Neal","Delbert Mann","Unknown","http://www.rottentomatoes.com/m/1000643-all_quiet_on_the_western_front/"
"Evolution","Feature Film","Ivan Reitman",6,101,"2001","comedy, sci_fi",93266,"2001-06-08","http://www.imdb.com/title/tt0251075/","0251075","Evolution",2001,"Science Fiction & Fantasy","PG-13","102","Rotten",43,"Spilled",48,"David Duchovny","Julianne Moore","Orlando Jones","Seann William Scott","Ted Levine","Ivan Reitman","Dreamworks Pictures","http://www.rottentomatoes.com/m/1108206-evolution/"
"Take Me Home","Feature Film","Sam Jaeger",6.9,97,"2011","comedy, romance",4096,"2011-04-19","http://www.imdb.com/title/tt1261954/","1261954","Take Me Home",2012,"Documentary","PG-13","97",NA,-1,"Upright",68,"Sam Jaeger","Amber Jaeger","Victor Garber","Lin Shaye","Bree Turner","Sam Jaeger","Monterey Media","http://www.rottentomatoes.com/m/take_me_home_2011/"
"Nickelodeon","Feature Film","Peter Bogdanovich",6.3,121,"1976","comedy",1351,"1976-12-21","http://www.imdb.com/title/tt0074964/","0074964","Nickelodeon",1976,"Comedy","PG","122","Rotten",14,"Spilled",51,"Ryan O'Neal","Burt Reynolds","Tatum O'Neal","Brian Keith","Stella Stevens","Peter Bogdanovich","Sony Pictures Entertainment","http://www.rottentomatoes.com/m/nickelodeon_1976/"
