"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
5026,"tt0088001","Mon Apr 22 18:39:23 2013","Mon Apr 22 18:39:23 2013","","Rhinestone","Feature Film","Bob Clark",NA,3.6,111,"1984","comedy, music, musical",5200,"1984-06-20","http://www.imdb.com/title/tt0088001/","0088001"
1351,"tt0452594","Mon Apr 22 18:27:59 2013","Mon Apr 22 18:27:59 2013","","The Break-Up","Feature Film","Peyton Reed",4,5.8,106,"2006","comedy, drama, romance",91317,"2006-06-01","http://www.imdb.com/title/tt0452594/","0452594"
3105,"tt0115624","Mon Apr 22 18:33:50 2013","Mon Apr 22 18:33:50 2013","","Barb Wire","Feature Film","David Hogan",NA,3.2,98,"1996","action, sci_fi",19338,"1996-05-03","http://www.imdb.com/title/tt0115624/","0115624"
3165,"tt1386925","Mon Apr 22 18:33:50 2013","Mon Apr 22 18:33:50 2013","","The Dead","Feature Film","Howard J. Ford, Jon Ford",NA,5.9,105,"2010","horror",6687,"2010-08-30","http://www.imdb.com/title/tt1386925/","1386925"
6045,"tt0102813","Mon Apr 22 18:41:47 2013","Mon Apr 22 18:41:47 2013","","Rover Dangerfield","Feature Film","Jim George, Bob Seeley",NA,6,74,"1991","animation, family, comedy",2143,"1991-07-01","http://www.imdb.com/title/tt0102813/","0102813"
7320,"tt0100828","Thu Apr 25 03:00:32 2013","Thu Apr 25 03:00:32 2013","","The Two Jakes","Feature Film","Jack Nicholson",NA,6.1,137,"1990","crime, drama, mystery",7718,"1990-08-10","http://www.imdb.com/title/tt0100828/","0100828"
5307,"tt0210584","Mon Apr 22 18:39:52 2013","Mon Apr 22 18:39:52 2013","","Bootmen","Feature Film","Dein Perry",NA,6.2,95,"2000","comedy, drama, romance",1857,"2000-10-05","http://www.imdb.com/title/tt0210584/","0210584"
8735,"tt2284766","Mon Apr 29 19:23:24 2013","Mon Apr 29 19:23:24 2013","","Mary and Martha","TV Movie","Phillip Noyce",NA,6.9,95,"2013","drama",1800,"2013-03-01","http://www.imdb.com/title/tt2284766/","2284766"
9090,"tt0117620","Mon Apr 29 19:24:19 2013","Mon Apr 29 19:24:19 2013","","Sharpe's Mission","TV Movie","Tom Clegg",NA,8,100,"1996","action, adventure, history, war",1218,"1996-05-15","http://www.imdb.com/title/tt0117620/","0117620"
784,"tt0413267","Mon Apr 22 18:26:35 2013","Mon Apr 22 18:26:35 2013","","Shrek the Third","Feature Film","Chris Miller, Raman Hui",NA,6,93,"2007","animation, adventure, comedy, family, fantasy",179359,"2007-05-06","http://www.imdb.com/title/tt0413267/","0413267"
6613,"tt0075983","Mon Apr 22 18:43:42 2013","Mon Apr 22 18:43:42 2013","","Elisa, My Life","Feature Film","Carlos Saura",NA,7.4,125,"1977","drama",339,"1977-04-21","http://www.imdb.com/title/tt0075983/","0075983"
2257,"tt0086927","Mon Apr 22 18:30:52 2013","Mon Apr 22 18:30:52 2013","","Bachelor Party","Feature Film","Neal Israel",5,6.2,105,"1984","comedy, romance",26049,"1984-06-29","http://www.imdb.com/title/tt0086927/","0086927"
1458,"tt0086006","Mon Apr 22 18:28:26 2013","Mon Apr 22 18:28:26 2013","","Never Say Never Again","Feature Film","Irvin Kershner",5,6.2,134,"1983","action, adventure, thriller",43123,"1983-10-06","http://www.imdb.com/title/tt0086006/","0086006"
6547,"tt0072594","Mon Apr 22 18:43:42 2013","Mon Apr 22 18:43:42 2013","","92 in the Shade","Feature Film","Thomas McGuane",NA,6.4,93,"1975","drama, comedy",221,"1975-08-22","http://www.imdb.com/title/tt0072594/","0072594"
782,"tt0465538","Mon Apr 22 18:26:35 2013","Mon Apr 22 18:26:35 2013","","Michael Clayton","Feature Film","Tony Gilroy",5,7.3,119,"2007","crime, drama, mystery, thriller",122338,"2007-08-31","http://www.imdb.com/title/tt0465538/","0465538"
9945,"tt2937898","Thu Feb 12 09:05:52 2015","Thu Feb 12 09:05:52 2015","","A Most Violent Year","Feature Film","J.C. Chandor",NA,7.2,125,"2014","action, crime, drama, thriller",12595,"2014-11-06","http://www.imdb.com/title/tt2937898/","2937898"
8915,"tt0905345","Mon Apr 29 19:23:54 2013","Mon Apr 29 19:23:54 2013","","Jesse Stone: Sea Change","TV Movie","Robert Harmon",NA,7.2,88,"2007","crime, drama",2032,"2007-05-22","http://www.imdb.com/title/tt0905345/","0905345"
3355,"tt1097013","Mon Apr 22 18:34:19 2013","Mon Apr 22 18:34:19 2013","","Next Day Air","Feature Film","Benny Boom",NA,5.8,84,"2009","action, comedy, crime",7846,"2009-05-08","http://www.imdb.com/title/tt1097013/","1097013"
8755,"tt2236182","Mon Apr 29 19:23:25 2013","Mon Apr 29 19:23:25 2013","","Rise of the Zombies","TV Movie","Nick Lyon",NA,3.8,89,"2012","action, horror, thriller",1930,"2012-10-27","http://www.imdb.com/title/tt2236182/","2236182"
6304,"tt0082958","Mon Apr 22 18:42:40 2013","Mon Apr 22 18:42:40 2013","","The Pursuit of D.B. Cooper","Feature Film","Roger Spottiswoode",NA,5.7,100,"1981","adventure, crime, thriller",709,"1981-11-13","http://www.imdb.com/title/tt0082958/","0082958"
