"vote","team"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Barack Obama","Other / no favourite"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
